familia,sub-familia,CÓDIGO,PRODUCTO,IMPORTADO
Griferías,cuello-cisne,GRILLCC-00210,Cuello Cisne Corto 21cm,IMPORTADO
Griferías,cuello-cisne,GRILLCC-00300,Cuello Cisne Largo 30cm,IMPORTADO
Griferías,cuello-cisne,GRILLM-00280,Llave Monomando con Cuello Cisne,IMPORTADO
Griferías,cuello-cisne,GRILLC-00220,Llave Combinacion con Cuello Cisne,IMPORTADO
Griferías,cuello-cisne,GRILLC-00310,Llave Cuello Cisne Recto,IMPORTADO
Griferías,prewash,GRILLPW-0620,Llave Pre-wash Corta,IMPORTADO
Griferías,prewash,GRILLPW-1100,Llave Pre-wash a Base Cubierta,IMPORTADO
Griferías,prewash,GRILLPWCC-1100,Llave Pre-wash a Base Cubierta con Cuello Cisne,IMPORTADO
Griferías,prewash,GRILLPWM-1118,Llave Pre-wash a Muro,IMPORTADO
Griferías,prewash,GRILLPWMC-1118,Llave Pre-wash a Muro con Cuello Cisne,IMPORTADO
Griferías,prewash,GRILLPWR-0450,Llave Pre-wash Manguera retractil,IMPORTADO
Griferías,griferia-pedal,GRILPS-00120,Llave Pedal Simple,IMPORTADO
Griferías,griferia-pedal,GRILLP-00120,Llave Pedal Doble,IMPORTADO
Griferías,griferia-rodilla,GRILRS-00210,Llave Rodilla Simple,IMPORTADO
Griferías,griferia-rodilla,GRILLR-00230,Llave Rodilla Doble,IMPORTADO
Griferías,desague,GRIDES-001,Desague 1 1/4,IMPORTADO
Griferías,desague,GRIDES-002,Desague 1 1/2,IMPORTADO
Griferías,desague,GRIDES-004,Desague 4 1/2,IMPORTADO
Griferías,cuello-cisne,GRIBWR-001,Llave Cuello Cisne Recto Simple,IMPORTADO
Griferías,cuello-cisne,GRIBXF-N1,Llave Cuello Cisne Doble a Muro,IMPORTADO
Griferías,griferia-especial,GRICU-0260,Griferia Lava Cucharas,IMPORTADO
Griferías,prewash,GEN1705-04,Llave Pre-wash a Base Cubierta con Monomando 1/2 Genebre,IMPORTADO
Griferías,prewash,GEN1743-04,Llave Pre-wash a Muro con Cuello Cisne Genebre,IMPORTADO
Griferías,prewash,GEN1802-04,Llave Pre-wash a Base Cubierta con Monomando Mezclador Genebre,IMPORTADO
Griferías,griferia-simple,GEN61203,Monomando de Fregadera Caño K8 Genebre,IMPORTADO
Griferías,valvula,GEN2014-04,Llave de Paso Válvula Esfera 2 Piezas 1/2,IMPORTADO
Griferías,prewash,GEN1724-04,Llave Pre-wash a Muro con Monomando Mezclador Genebre,IMPORTADO
Hervidores,hervidor,AUHA-0158,Hervidor de Agua 30 LTRS.,
Hervidores,hervidor,AUHA-0157,Hervidor de Agua 20 LTRS.,
Hervidores,hervidor,HAE-10,Hervidor de Agua 10 LTRS.,
Hervidores,hervidor,HAE-20,Hervidor de Agua 20 LTRS.,
Hervidores,hervidor,HAE-30,Hervidor de Agua 30 LTRS.,
Hervidores,calentador-leche,HCL-15,Calentador de Leche 15 LTRS.,
Hornos,horno-industrial,CCHC-0048,Horno de 1 Camara Normalizado,
